text,label
Gas bill payment 3277,Bills
Watched movie on BookMyShow 1542,Entertainment
Croma online shopping 9779,Shopping
Order placed on Flipkart 6921,Shopping
Netflix subscription 8933,Entertainment
Consultation booked on Practo 9480,Medical
TataCliq product order 260,Shopping
Jio Fiber payment 442,Bills
Ordered food from Swiggy 4364,Food
Netflix subscription 4758,Entertainment
Watched movie on BookMyShow 3655,Entertainment
Airtel broadband bill 7729,Bills
Ola cab payment 1658,Travel
Cab ride with Uber 9337,Travel
Dinner from Zomato 4360,Food
Water bill 2308,Bills
Rapido bike ride 2562,Travel
Consultation booked on Practo 3989,Medical
PVR Cinemas ticket 1784,Entertainment
Myntra fashion order 5520,Shopping
Order placed on Flipkart 2675,Shopping
Bus ticket payment 1028,Travel
Cab ride with Uber 8241,Travel
Order placed on Flipkart 4861,Shopping
Jio Fiber payment 269,Bills
BSNL recharge 1145,Bills
Lunch at KFC 2058,Food
Reliance Digital purchase 3999,Shopping
Ordered food from Swiggy 8822,Food
Paid electricity bill 7231,Bills
Myntra fashion order 5181,Shopping
Reliance Digital purchase 9429,Shopping
Lunch at KFC 3937,Food
Reliance Digital purchase 694,Shopping
Gas bill payment 3853,Bills
Bought item from Amazon 3028,Shopping
Bought item from Amazon 9974,Shopping
Bought item from Amazon 2201,Shopping
Flight ticket Indigo 1839,Travel
Bought item from Amazon 9907,Shopping
Water bill 4366,Bills
Bought item from Amazon 6907,Shopping
Domino's Pizza delivery 6372,Food
Jio Fiber payment 840,Bills
Order placed on Flipkart 3494,Shopping
Bought medicines from Apollo 6932,Medical
Fortis Hospital checkup 281,Medical
Airtel broadband bill 7760,Bills
Bus ticket payment 3569,Travel
Rapido bike ride 3700,Travel
Bought medicines from Apollo 4785,Medical
Bus ticket payment 9668,Travel
Doctor appointment 8951,Medical
Doctor appointment 5658,Medical
Myntra fashion order 3120,Shopping
Croma online shopping 1192,Shopping
Fortis Hospital checkup 7895,Medical
Hotstar monthly plan 6116,Entertainment
Spotify Premium payment 6670,Entertainment
Airtel broadband bill 4733,Bills
MedPlus order 6047,Medical
Spotify Premium payment 4060,Entertainment
McDonald's burger meal 6941,Food
Rapido bike ride 5427,Travel
Pharmacy bill 9700,Medical
Rapido bike ride 9244,Travel
Ordered food from Swiggy 5094,Food
PVR Cinemas ticket 3251,Entertainment
Airtel broadband bill 8409,Bills
Ordered food from Swiggy 7672,Food
Dinner from Zomato 4976,Food
Jio Fiber payment 1618,Bills
Paid electricity bill 1200,Bills
BSNL recharge 5057,Bills
Consultation booked on Practo 8171,Medical
Water bill 8715,Bills
Water bill 6725,Bills
Fortis Hospital checkup 4555,Medical
Flight ticket Indigo 9917,Travel
Spotify Premium payment 4710,Entertainment
McDonald's burger meal 4437,Food
Cab ride with Uber 3437,Travel
Lunch at KFC 4555,Food
Doctor appointment 3724,Medical
Bus ticket payment 125,Travel
MedPlus order 1774,Medical
PVR Cinemas ticket 2511,Entertainment
Cab ride with Uber 4525,Travel
Spotify Premium payment 5756,Entertainment
Consultation booked on Practo 6305,Medical
Pharmacy bill 164,Medical
McDonald's burger meal 598,Food
Hotstar monthly plan 9847,Entertainment
MedPlus order 8530,Medical
YouTube Premium bill 1495,Entertainment
Bus ticket payment 7632,Travel
Paid electricity bill 1555,Bills
Ordered food from Swiggy 709,Food
Pharmacy bill 9691,Medical
PVR Cinemas ticket 2946,Entertainment
MedPlus order 4261,Medical
Paid electricity bill 7881,Bills
Water bill 2741,Bills
Watched movie on BookMyShow 3116,Entertainment
Train booking IRCTC 8657,Travel
YouTube Premium bill 1305,Entertainment
Fortis Hospital checkup 1237,Medical
McDonald's burger meal 5354,Food
MedPlus order 6892,Medical
McDonald's burger meal 1744,Food
Croma online shopping 4963,Shopping
Train booking IRCTC 2002,Travel
Consultation booked on Practo 4608,Medical
Netflix subscription 1050,Entertainment
MedPlus order 3036,Medical
Consultation booked on Practo 4384,Medical
Jio Fiber payment 8858,Bills
Cab ride with Uber 4546,Travel
Doctor appointment 9779,Medical
Consultation booked on Practo 2937,Medical
Cab ride with Uber 3012,Travel
Cab ride with Uber 8460,Travel
Spotify Premium payment 298,Entertainment
Bought medicines from Apollo 6099,Medical
Fortis Hospital checkup 1359,Medical
Spotify Premium payment 4319,Entertainment
Order placed on Flipkart 8416,Shopping
Spotify Premium payment 1938,Entertainment
Hotstar monthly plan 8794,Entertainment
PVR Cinemas ticket 4875,Entertainment
Doctor appointment 503,Medical
McDonald's burger meal 4066,Food
McDonald's burger meal 4539,Food
Reliance Digital purchase 2687,Shopping
Reliance Digital purchase 7643,Shopping
Myntra fashion order 5259,Shopping
TataCliq product order 8847,Shopping
Water bill 180,Bills
Consultation booked on Practo 9997,Medical
Fortis Hospital checkup 5002,Medical
Fortis Hospital checkup 8351,Medical
Lunch at KFC 758,Food
Pharmacy bill 2039,Medical
Pharmacy bill 5889,Medical
Order placed on Flipkart 3770,Shopping
McDonald's burger meal 356,Food
Spotify Premium payment 6857,Entertainment
PVR Cinemas ticket 6765,Entertainment
Croma online shopping 4957,Shopping
Gas bill payment 3511,Bills
Bought medicines from Apollo 5200,Medical
Ola cab payment 9614,Travel
Ordered food from Swiggy 6154,Food
Rapido bike ride 6206,Travel
Spotify Premium payment 5601,Entertainment
McDonald's burger meal 408,Food
Croma online shopping 3953,Shopping
Train booking IRCTC 6934,Travel
Consultation booked on Practo 4994,Medical
BSNL recharge 8300,Bills
Pharmacy bill 4003,Medical
Flight ticket Indigo 6788,Travel
Reliance Digital purchase 2877,Shopping
Spotify Premium payment 4730,Entertainment
Rapido bike ride 7577,Travel
Ola cab payment 9526,Travel
Dinner from Zomato 449,Food
Pizza Hut order 7623,Food
PVR Cinemas ticket 2248,Entertainment
Jio Fiber payment 8847,Bills
Paid electricity bill 5732,Bills
Netflix subscription 784,Entertainment
Netflix subscription 4215,Entertainment
BSNL recharge 1109,Bills
Consultation booked on Practo 7849,Medical
Ola cab payment 442,Travel
BSNL recharge 7377,Bills
BSNL recharge 8657,Bills
Netflix subscription 5429,Entertainment
Pizza Hut order 6616,Food
Train booking IRCTC 9412,Travel
Dinner from Zomato 9172,Food
Croma online shopping 1396,Shopping
MedPlus order 7978,Medical
Dinner from Zomato 7513,Food
BSNL recharge 5552,Bills
Jio Fiber payment 378,Bills
Croma online shopping 7064,Shopping
Flight ticket Indigo 5858,Travel
Train booking IRCTC 5163,Travel
Rapido bike ride 6583,Travel
Croma online shopping 3888,Shopping
YouTube Premium bill 9855,Entertainment
Gas bill payment 8431,Bills
Rapido bike ride 1492,Travel
Netflix subscription 6694,Entertainment
Pharmacy bill 7123,Medical
Hotstar monthly plan 1417,Entertainment
Order placed on Flipkart 4575,Shopping
Fortis Hospital checkup 1412,Medical
MedPlus order 7317,Medical
Consultation booked on Practo 2896,Medical
Watched movie on BookMyShow 5519,Entertainment
Bought medicines from Apollo 9893,Medical
Fortis Hospital checkup 371,Medical
Fortis Hospital checkup 1806,Medical
PVR Cinemas ticket 7483,Entertainment
Hotstar monthly plan 4170,Entertainment
Spotify Premium payment 8838,Entertainment
TataCliq product order 2859,Shopping
Ola cab payment 6804,Travel
Domino's Pizza delivery 5457,Food
Myntra fashion order 4439,Shopping
Netflix subscription 9606,Entertainment
Cab ride with Uber 3796,Travel
Consultation booked on Practo 385,Medical
Fortis Hospital checkup 3309,Medical
Airtel broadband bill 1685,Bills
Ola cab payment 7927,Travel
Netflix subscription 8679,Entertainment
Bus ticket payment 5056,Travel
Consultation booked on Practo 9051,Medical
Consultation booked on Practo 1288,Medical
Ordered food from Swiggy 2650,Food
Domino's Pizza delivery 5990,Food
Bus ticket payment 1121,Travel
Myntra fashion order 7150,Shopping
Water bill 739,Bills
Rapido bike ride 3965,Travel
Watched movie on BookMyShow 7008,Entertainment
McDonald's burger meal 4868,Food
Rapido bike ride 4744,Travel
McDonald's burger meal 5754,Food
McDonald's burger meal 345,Food
Bought medicines from Apollo 8233,Medical
Ordered food from Swiggy 9059,Food
Paid electricity bill 2063,Bills
TataCliq product order 3012,Shopping
Jio Fiber payment 6180,Bills
Rapido bike ride 2035,Travel
Domino's Pizza delivery 3809,Food
PVR Cinemas ticket 262,Entertainment
Ola cab payment 1261,Travel
Train booking IRCTC 1989,Travel
Consultation booked on Practo 7976,Medical
Water bill 454,Bills
Fortis Hospital checkup 1480,Medical
Croma online shopping 5765,Shopping
Ordered food from Swiggy 6765,Food
Train booking IRCTC 6059,Travel
Fortis Hospital checkup 5567,Medical
Ola cab payment 8977,Travel
PVR Cinemas ticket 245,Entertainment
Doctor appointment 5928,Medical
Water bill 3184,Bills
Domino's Pizza delivery 4792,Food
Lunch at KFC 1008,Food
Flight ticket Indigo 6250,Travel
Paid electricity bill 129,Bills
Reliance Digital purchase 756,Shopping
Hotstar monthly plan 334,Entertainment
Ola cab payment 3572,Travel
Bought item from Amazon 6560,Shopping
Paid electricity bill 2141,Bills
McDonald's burger meal 7160,Food
Rapido bike ride 6311,Travel
Lunch at KFC 842,Food
McDonald's burger meal 366,Food
Watched movie on BookMyShow 865,Entertainment
Watched movie on BookMyShow 8830,Entertainment
Domino's Pizza delivery 8448,Food
Order placed on Flipkart 9822,Shopping
Doctor appointment 3340,Medical
Water bill 9851,Bills
Rapido bike ride 4918,Travel
Jio Fiber payment 7941,Bills
Pizza Hut order 9863,Food
Paid electricity bill 8892,Bills
Lunch at KFC 5151,Food
Netflix subscription 3112,Entertainment
Train booking IRCTC 5772,Travel
Flight ticket Indigo 9523,Travel
Pizza Hut order 2102,Food
Netflix subscription 5906,Entertainment
McDonald's burger meal 8101,Food
Pizza Hut order 6183,Food
Pizza Hut order 4862,Food
Gas bill payment 211,Bills
Ordered food from Swiggy 3759,Food
Water bill 2929,Bills
Ola cab payment 2406,Travel
Dinner from Zomato 2023,Food
Ordered food from Swiggy 2498,Food
Croma online shopping 1388,Shopping
Dinner from Zomato 6952,Food
Pharmacy bill 9923,Medical
Hotstar monthly plan 7760,Entertainment
Paid electricity bill 8425,Bills
Reliance Digital purchase 6203,Shopping
Netflix subscription 4191,Entertainment
Reliance Digital purchase 4899,Shopping
Order placed on Flipkart 5181,Shopping
Order placed on Flipkart 6974,Shopping
MedPlus order 3045,Medical
TataCliq product order 6443,Shopping
Ordered food from Swiggy 176,Food
Ola cab payment 2088,Travel
Gas bill payment 7957,Bills
BSNL recharge 8272,Bills
Order placed on Flipkart 8856,Shopping
Croma online shopping 5321,Shopping
Myntra fashion order 1809,Shopping
McDonald's burger meal 3277,Food
